GenreName,MovieCount
Drama,9
"Thriller & Suspense",8
Comedy,5
"Crime & Mystery",5
Horror,4
Action,4
Fantasy,3
Adventure,2
"Science Fiction (Sci-Fi)",2
Musical,2
Historical,1
